>26712_26713 both
chlC50 713490 713589
chlP2 727931 728030
chlJD37 5951080 5951179
chlChPhzS24 707483 707582
chl6698 710356 710455
chl2210 728552 728651
chlChPhzS23 701802 701901
chlLzh-T5 697752 697851
chlPA23 590472 590571
chlStFRB508 528532 528631
chlChPhzTR36 706741 706840
chl21509 718598 718681
chl50083 710350 710449
chlO6 717646 717745
chlChPhzTR18 706063 706162
chlK27 756961 757060
>29607_29608 both
chlM12 868156 868286
chlTAMOak81 886587 886662
chlChPhzS140 854516 854600
chlDTR133 852875 852959
chlPCL1607 885767 885851
chlChPhzTR39 860936 861020
chlChPhzTR38 880375 880459
chl189 2089552 2089696
chl66 872274 872358
chl449 875971 876101
chl17415 855836 855980
chlZJU60 846839 846922
chlQ16 873690 873820
chlM71 923065 923195
chl464 875971 876101
chlChPhzS135 855321 855405
chlB25 851840 851985
chl17411 846821 846905
chl19603 881142 881287
chl17809 846828 846912
chlCW2 870187 870317
chlC50 866376 866460
chlP2 871021 871105
chlJD37 5783438 5783568
chlChPhzS24 860698 860782
chl6698 863571 863655
chlChPhzTR44 851503 851587
chl2210 883748 883878
chlToZa7 863748 863832
chlSLPH10 856189 856273
chlChPhzS23 854969 855053
chlPCL1391 850702 850786
chlPA23 743800 743884
chlStFRB508 684795 684925
chlChPhzTR36 861418 861502
chl21509 869203 869287
chl50083 863481 863626
chlO6 866331 866415
chlChPhzTR18 859289 859373
chlK27 909937 910067
>29611_29612 both
chlM12 876190 876289
chlTAMOak81 895842 895941
chlChPhzTR39 868979 869078
chlChPhzTR38 888418 888517
chl189 2080236 2080336
chl66 880311 880410
chl449 884013 884112
chl17415 865198 865298
chlQ16 881742 881841
chlM71 931117 931216
chl464 884013 884112
chl19603 889192 889291
chlCW2 878230 878329
chlC50 874420 874519
chlP2 879065 879164
chlJD37 5775415 5775514
chlChPhzS24 868741 868840
chl6698 871614 871713
chl2210 891800 891899
chlChPhzS23 863012 863111
chlLzh-T5 858937 859036
chlPA23 751843 751942
chlStFRB508 692847 692946
chlChPhzTR36 869461 869560
chl21509 877205 877319
chl50083 872848 872947
chlO6 874375 874474
chlChPhzTR18 867332 867431
chlK27 917979 918078
>29453_29454 both
chlM12 1100969 1101068
chlTAMOak81 1139313 1139412
chlChPhzTR39 1125097 1125196
chlChPhzTR38 1129033 1129132
chl189 1846121 1846220
chl66 1126241 1126339
chl449 1126883 1126982
chl17415 1110384 1110483
chlQ16 1112109 1112208
chlM71 1172571 1172670
chl464 1128817 1128916
chl19603 1116467 1116566
chlCW2 1111325 1111424
chlC50 1098903 1099002
chlP2 1105436 1105535
chlJD37 5535431 5535530
chlChPhzS24 1120381 1120480
chl6698 1124611 1124710
chl2210 1120541 1120640
chlChPhzS23 1097993 1098091
chlLzh-T5 1094844 1094943
chlPA23 998957 999056
chlStFRB508 929834 929933
chlChPhzTR36 1150514 1150613
chl21509 1132682 1132781
chl50083 1115267 1115367
chlO6 1119115 1119214
chlChPhzTR18 1107931 1108030
chlK27 1157942 1158041
>29455_29456 both
chlM12 1107569 1107683
chl449 1133481 1133595
chlQ16 1118707 1118822
chlM71 1179168 1179283
chl464 1135415 1135529
chl19603 1123064 1123179
chlCW2 1117922 1118037
chlJD37 5528817 5528931
chlStFRB508 936432 936547
chl21509 1139279 1139394
chlK27 1164538 1164653
>29613_29615 both
chlM12 1137466 1137597
chlTAMOak81 1175128 1175259
chlChPhzTR39 1162385 1162486
chlChPhzTR38 1166429 1166530
chl189 1810680 1810811
chl66 1164861 1164962
chl449 1160939 1161070
chl17415 1145659 1145790
chlQ16 1146257 1146388
chlM71 1208621 1208752
chl464 1162873 1163004
chlB25 1173580 1173711
chl19603 1153098 1153229
chlCW2 1148398 1148529
chlC50 1137884 1137985
chlP2 1144395 1144496
chlJD37 5494035 5494166
chlChPhzS24 1157777 1157878
chl6698 1162278 1162379
chl2210 1157062 1157193
chlChPhzS23 1136589 1136690
chlLzh-T5 1132480 1132581
chlPA23 1036262 1036363
chlStFRB508 966775 966906
chlChPhzTR36 1187808 1187909
chlO6 1156630 1156716
chlChPhzTR18 1145340 1145441
chlK27 1192757 1192888
>29615_29616 both
chlM12 1139011 1139141
chlTAMOak81 1176708 1176771
chlChPhzTR39 1163914 1163977
chlChPhzTR38 1167958 1168021
chl189 1809115 1809245
chl66 1166390 1166453
chl449 1162484 1162614
chl17415 1147204 1147334
chlQ16 1147802 1147932
chlPb-St2 1107379 1107509
chlM71 1210166 1210296
chl464 1164418 1164548
chlB25 1175160 1175223
chl19603 1154643 1154773
chlCW2 1149943 1150073
chlC50 1139413 1139476
chlP2 1145924 1145987
chlJD37 5492491 5492621
chlChPhzS24 1159306 1159369
chl6698 1163807 1163870
chl2210 1158607 1158737
chlChPhzS23 1138118 1138181
chlLzh-T5 1134009 1134072
chlPA23 1037791 1037854
chlStFRB508 968320 968450
chlChPhzTR36 1189337 1189400
chl50083 1153700 1153830
chlO6 1158144 1158207
chlChPhzTR18 1146869 1146932
chlK27 1194302 1194432
>29395_29396 both
chlM12 1237337 1237435
chlChPhzS140 1256691 1256789
chlDTR133 1245087 1245185
chlPCL1607 1294224 1294322
chlChPhzTR39 1260655 1260741
chlChPhzTR38 1264722 1264808
chl189 1710876 1710956
chl66 1263037 1263123
chl449 1260984 1261082
chlQ16 1244828 1244926
chlPb-St2 1202899 1202997
chlM71 1305716 1305814
chl464 1262918 1263016
chlChPhzS135 1258359 1258457
chlB25 1265332 1265430
chl17411 1240758 1240856
chl19603 1251690 1251788
chl17809 1240764 1240862
chlCW2 1248456 1248554
chlC50 1236535 1236621
chlP2 1242828 1242914
chlJD37 5397210 5397308
chlChPhzS24 1256074 1256160
chl6698 1260664 1260750
chl2210 1257164 1257262
chlToZa7 1256329 1256427
chlSLPH10 1255174 1255272
chlChPhzS23 1234770 1234856
chlPCL1391 1233909 1234007
chlLzh-T5 1230780 1230866
chlPA23 1134542 1134628
chlStFRB508 1065439 1065537
chlChPhzTR36 1286460 1286546
chl21509 1265954 1266040
chl50083 1250384 1250482
chlO6 1254784 1254870
chlChPhzTR18 1243727 1243813
chlK27 1289258 1289356
>29617_29618 both
chlM12 1287482 1287581
chlTAMOak81 1315542 1315642
chl189 1661522 1661622
chl449 1310427 1310526
chl17415 1294856 1294956
chlQ16 1294315 1294415
chlM71 1355854 1355953
chl464 1312361 1312460
chlB25 1314656 1314756
chl19603 1301180 1301280
chlCW2 1297896 1297995
chlJD37 5347764 5347864
chl2210 1306646 1306746
chlStFRB508 1115044 1115144
chl21509 1315431 1315499
chl50083 1299755 1299855
chlK27 1339353 1339452
>29301_29302 both
chlM12 1432371 1432502
chlTAMOak81 1461159 1461235
chlChPhzS140 1452410 1452477
chlDTR133 1488061 1488128
chlPCL1607 1490235 1490302
chlChPhzTR39 1457298 1457427
chlChPhzTR38 1461405 1461534
chl189 1516291 1516420
chl66 1459995 1460124
chl449 1455743 1455871
chl17415 1439848 1439977
chlZJU60 1422545 1422612
chlQ16 1439810 1439939
chlM71 1501090 1501219
chl464 1457677 1457805
chlChPhzS135 1454325 1454392
chlB25 1487682 1487811
chl19603 1446634 1446763
chlCW2 1443506 1443634
chlC50 1432734 1432863
chlP2 1438761 1438828
chlJD37 5201650 5201779
chlChPhzS24 1452755 1452884
chl6698 1457804 1457933
chlChPhzTR44 1447549 1447616
chl2210 1451746 1451875
chlToZa7 1452275 1452342
chlSLPH10 1451122 1451189
chlChPhzS23 1437059 1437188
chlPCL1391 1431236 1431303
chlLzh-T5 1428316 1428445
chlPA23 1332388 1332517
chlStFRB508 1261494 1261623
chlChPhzTR36 1485113 1485242
chl21509 1462313 1462380
chl50083 1443417 1443546
chlO6 1491956 1492085
chlChPhzTR18 1440406 1440535
chlK27 1484660 1484789
>29621_29622 both
chlM12 1455733 1455845
chlTAMOak81 1484598 1484660
chlChPhzS140 1475799 1475911
chlDTR133 1511449 1511561
chlPCL1607 1513624 1513736
chlChPhzTR39 1480714 1480826
chlChPhzTR38 1484824 1484936
chl189 1491758 1491869
chl66 1483413 1483525
chl449 1479099 1479197
chlZJU60 1445936 1446034
chlQ16 1463168 1463280
chlM71 1524451 1524563
chl464 1481033 1481131
chlChPhzS135 1477713 1477825
chlB25 1510917 1511015
chl17411 1470066 1470164
chl19603 1469995 1470107
chl17809 1470076 1470174
chlCW2 1466866 1466978
chlC50 1456153 1456265
chlP2 1462107 1462219
chlJD37 5178293 5178405
chlChPhzS24 1476175 1476287
chl6698 1481224 1481336
chlChPhzTR44 1470937 1471049
chl2210 1475097 1475209
chlToZa7 1475663 1475775
chlSLPH10 1474510 1474622
chlChPhzS23 1460477 1460589
chlPCL1391 1454627 1454739
chlLzh-T5 1451735 1451833
chlPA23 1355806 1355918
chlStFRB508 1284852 1284964
chlChPhzTR36 1508533 1508645
chl21509 1485783 1485895
chl50083 1466727 1466839
chlChPhzTR18 1463825 1463937
chlK27 1508005 1508117
>29623_29624 both
chlM12 1494667 1494797
chlChPhzS140 1514784 1514915
chlDTR133 1550437 1550568
chlPCL1607 1552612 1552743
chl66 1522762 1522906
chl449 1517916 1518046
chlQ16 1501982 1502112
chlM71 1563487 1563617
chl464 1519850 1519980
chlChPhzS135 1516701 1516832
chlC50 1495505 1495636
chlJD37 5138029 5138159
chlChPhzTR44 1509925 1510056
chlToZa7 1514651 1514781
chlSLPH10 1513498 1513629
chlChPhzS23 1499822 1499966
chlPCL1391 1493614 1493745
chlStFRB508 1323668 1323797
chlK27 1546940 1547070
>29625_29626 both
chlM12 1594988 1595110
chlTAMOak81 1618119 1618213
chlChPhzTR39 1630702 1630796
chlChPhzTR38 1632401 1632495
chl189 1234201 1234328
chl66 1626152 1626246
chl17415 1600178 1600308
chlQ16 1603762 1603890
chlPb-St2 1551837 1551931
chlM71 1656552 1656674
chl19603 1614786 1614915
chlCW2 1607721 1607849
chlC50 1593216 1593310
chlP2 1628034 1628128
chlJD37 5036806 5036934
chlChPhzS24 1623654 1623748
chl6698 1629537 1629631
chl2210 1619002 1619130
chlChPhzS23 1604526 1604620
chlLzh-T5 1602382 1602476
chlPA23 1532481 1532575
chlChPhzTR36 1650625 1650719
chl50083 1642445 1642573
chlO6 1706042 1706136
chlChPhzTR18 1612899 1612993
chlK27 1646310 1646432
>29527_29528 both
chlM12 1618667 1618767
chlTAMOak81 1641439 1641554
chlPCL1607 1684656 1684770
chlChPhzTR39 1654367 1654467
chlChPhzTR38 1656067 1656167
chl189 1210482 1210582
chl66 1649830 1649930
chl449 1639931 1640031
chl17415 1623749 1623849
chlQ16 1627289 1627389
chlPb-St2 1575204 1575316
chlM71 1680231 1680321
chl464 1641865 1641965
chlB25 1795004 1795118
chl19603 1638270 1638382
chlCW2 1631206 1631306
chlC50 1616912 1617012
chlP2 1651700 1651800
chlJD37 5013076 5013188
chlChPhzS24 1647320 1647420
chl6698 1653214 1653314
chl2210 1642376 1642476
chlChPhzS23 1628204 1628304
chlPCL1391 1625592 1625706
chlLzh-T5 1626327 1626427
chlPA23 1556412 1556512
chlStFRB508 1450439 1450559
chlChPhzTR36 1674291 1674391
chl21509 1648186 1648267
chlO6 1729708 1729808
chlChPhzTR18 1636565 1636665
chlK27 1669974 1670064
>29627_29628 both
chlM12 1740388 1740518
chlTAMOak81 1758436 1758565
chlChPhzTR39 1796189 1796319
chlChPhzTR38 1799228 1799358
chl189 1095612 1095742
chl66 1786644 1786774
chl449 1761292 1761422
chl17415 1737129 1737259
chlQ16 1768789 1768919
chlPb-St2 1694532 1694616
chl464 1763226 1763356
chlB25 1929614 1929745
chl19603 1759072 1759202
chlCW2 1752352 1752482
chlC50 1753836 1753966
chlP2 1789568 1789698
chlJD37 4876274 4876404
chlChPhzS24 1789156 1789286
chl6698 1800426 1800556
chl2210 1766844 1766974
chlChPhzS23 1765114 1765244
chlLzh-T5 1763962 1764092
chlPA23 1690412 1690542
chlStFRB508 1570537 1570667
chlChPhzTR36 1805579 1805709
chl50083 1799275 1799406
chlO6 1866280 1866410
chlChPhzTR18 1778377 1778507
chlK27 1790763 1790893
>29629_29630 both
chlM12 1808630 1808728
chl449 1829456 1829554
chl17415 1805412 1805510
chlQ16 1836142 1836240
chlPb-St2 1762741 1762839
chlM71 1870978 1871076
chl464 1831390 1831488
chl17411 1876264 1876362
chl19603 1827240 1827338
chl17809 1876277 1876375
chlC50 1822343 1822441
chlP2 1857839 1857937
chl2210 1835094 1835192
chlChPhzTR36 1874089 1874187
chl50083 1867555 1867643
chlO6 1934796 1934894
chlK27 1858143 1858241
>29529_29530 both
chlM12 2015575 2015687
chl189 813206 813305
chl449 2072565 2072664
chl17415 2019070 2019169
chlZJU60 2004042 2004129
chlQ16 2041694 2041806
chlM71 2074966 2075065
chl464 2074499 2074598
chl17411 2074491 2074589
chl19603 2032976 2033075
chl17809 2074503 2074601
chlCW2 2030280 2030392
chlP2 2101610 2101709
chlJD37 4596022 4596121
chl2210 2042188 2042287
chlStFRB508 1848629 1848728
chl21509 2044574 2044672
chl50083 2073635 2073734
chlK27 2062007 2062106
>29363_29364 both
chlM12 2633637 2633768
chlChPhzS140 2678735 2678864
chlPCL1607 2662279 2662408
chlChPhzTR39 2721041 2721170
chlChPhzTR38 2743967 2744096
chl66 2697163 2697292
chl449 2728602 2728731
chlM71 2646712 2646840
chl464 2730536 2730665
chl19603 2633071 2633200
chlCW2 2649439 2649568
chlC50 2650238 2650367
chlChPhzS24 2635443 2635572
chl6698 2700597 2700726
chl2210 2641154 2641283
chlPCL1391 2605229 2605358
chlPA23 2560339 2560468
chlStFRB508 2517775 2517904
chlChPhzTR36 2723136 2723265
chlChPhzTR18 2670538 2670667
chlK27 2676473 2676602
>29633_29634 both
chlM12 2682632 2682731
chlChPhzS140 2737215 2737314
chlDTR133 2749163 2749262
chlPCL1607 2717341 2717440
chlChPhzTR39 2774196 2774292
chlChPhzTR38 2798298 2798394
chl189 5720424 5720524
chl189 5720599 5720698
chl66 2746091 2746187
chl449 2786302 2786401
chl17415 2661978 2662077
chl17415 2661803 2661903
chlZJU60 2611057 2611156
chlQ16 2739472 2739571
chlPb-St2 2610568 2610665
chlM71 2708738 2708837
chl464 2788237 2788336
chlChPhzS135 2674788 2674887
chlB25 3016396 3016495
chl17411 2717841 2717940
chl19603 2691317 2691416
chl17809 2717855 2717954
chlCW2 2701774 2701873
chlC50 2697245 2697341
chlP2 2854256 2854352
chlJD37 3965949 3966048
chlChPhzS24 2691705 2691801
chl6698 2748103 2748202
chlChPhzTR44 2700653 2700752
chl2210 2697861 2697960
chlToZa7 2734623 2734722
chlSLPH10 2747445 2747544
chlChPhzS23 2673636 2673732
chlPCL1391 2666946 2667045
chlLzh-T5 2686346 2686442
chlPA23 2613111 2613207
chlStFRB508 2587570 2587669
chlChPhzTR36 2777648 2777744
chl50083 2770315 2770414
chlO6 2837681 2837780
chlChPhzTR18 2723696 2723792
chlK27 2728569 2728668
>29463_29464 both
chlM12 2713729 2713828
chlChPhzS140 2767807 2767907
chlDTR133 2779801 2779901
chlPCL1607 2747961 2748060
chlChPhzTR39 2805169 2805268
chlChPhzTR38 2829124 2829224
chl189 5751625 5751723
chl66 2776900 2776999
chl449 2817266 2817366
chl17415 2692972 2693070
chlZJU60 2641710 2641810
chlQ16 2770563 2770662
chlM71 2739778 2739877
chl464 2819201 2819301
chlChPhzS135 2705444 2705544
chl17411 2748569 2748668
chl19603 2722338 2722437
chl17809 2748556 2748655
chlCW2 2732515 2732614
chlC50 2728074 2728173
chlP2 2884971 2885071
chlJD37 3935335 3935434
chlChPhzS24 2722530 2722629
chl6698 2778827 2778926
chlChPhzTR44 2731192 2731292
chl2210 2728945 2729044
chlToZa7 2765243 2765343
chlSLPH10 2778073 2778173
chlChPhzS23 2704457 2704556
chlPCL1391 2697733 2697833
chlLzh-T5 2717066 2717165
chlPA23 2643935 2644034
chlStFRB508 2618383 2618482
chlChPhzTR36 2808477 2808577
chl50083 2800943 2801041
chlO6 2868419 2868518
chlChPhzTR18 2754522 2754622
chlK27 2759518 2759616
>29635_29636 both
chlM12 2953789 2953919
chlTAMOak81 2977265 2977360
chlChPhzS140 3037550 3037644
chlPCL1607 3027585 3027679
chl189 6081859 6081958
chl66 3015157 3015287
chl449 3071704 3071834
chl17415 2927161 2927260
chlZJU60 2904702 2904796
chlQ16 3009379 3009509
chlPb-St2 2890253 2890384
chlM71 2969564 2969694
chl464 3073639 3073769
chlB25 3253798 3253942
chl19603 2974287 2974417
chlCW2 2971477 2971607
chlC50 2973102 2973233
chlP2 3126025 3126155
chlJD37 3716469 3716599
chl6698 3059385 3059515
chlChPhzTR44 3022144 3022238
chl2210 2974993 2975123
chlToZa7 3041532 3041662
chlChPhzS23 2942351 2942481
chlLzh-T5 2956684 2956815
chlStFRB508 2870791 2870921
chlChPhzTR36 3073987 3074117
chl21509 3000117 3000211
chl50083 3076059 3076154
chlO6 3115650 3115781
chlK27 2998875 2999005
>17096_28960 both
chlM12 3014585 3014684
chlJD37 3652844 3652943
>29637_29638 both
chlM12 3126888 3126986
chl189 6254358 6254456
chl449 3247156 3247253
chl17415 3105090 3105188
chlQ16 3196983 3197080
chlPb-St2 3069131 3069229
chlM71 3148929 3149027
chl464 3249092 3249189
chlB25 3439031 3439129
chl19603 3159639 3159737
chlCW2 3151366 3151464
chl2210 3161515 3161613
chlStFRB508 3061459 3061557
chl21509 3176379 3176477
chl50083 3268980 3269092
chlK27 3179104 3179202
>29701_29702 both
chlM12 3232693 3232822
chlTAMOak81 3246535 3246664
chl189 6315663 6315792
chl66 3303273 3303402
chl17415 3181911 3182040
chlPb-St2 3162592 3162721
chlM71 3243893 3244022
chl19603 3264541 3264670
chlJD37 3437027 3437156
chl2210 3255162 3255291
chlChPhzS23 3228717 3228846
chlK27 3283608 3283737
>29641_29642 both
chlM12 3572949 3573048
chlTAMOak81 3617731 3617830
chlChPhzS140 3658131 3658230
chlDTR133 3650499 3650598
chlPCL1607 3624334 3624433
chlChPhzTR39 3778140 3778239
chlChPhzTR38 3743043 3743142
chl189 6571904 6572003
chl66 3680252 3680351
chl449 3752618 3752717
chl17415 3500646 3500745
chlQ16 3700607 3700706
chlPb-St2 3553201 3553300
chlM71 3612696 3612795
chl464 3754553 3754652
chl19603 3644195 3644294
chlCW2 3693257 3693356
chlC50 3622485 3622584
chlP2 3758572 3758671
chlJD37 3154790 3154889
chlChPhzS24 3647003 3647102
chl6698 3742051 3742150
chlChPhzTR44 3637239 3637338
chl2210 3642396 3642495
chlToZa7 3652414 3652513
chlSLPH10 3649989 3650088
chlChPhzS23 3653471 3653570
chlPCL1391 3569983 3570082
chlLzh-T5 3626123 3626222
chlPA23 3590964 3591063
chlStFRB508 3542372 3542471
chlChPhzTR36 3746027 3746127
chl21509 3623693 3623807
chl50083 3737422 3737521
chlO6 3737489 3737589
chlChPhzTR18 3675774 3675874
chlK27 3698449 3698548
>29643_29644 both
chlM12 3645753 3645854
chlChPhzS140 3746959 3747050
chlDTR133 3759120 3759211
chlPCL1607 3713162 3713253
chlChPhzTR39 3845891 3845992
chlChPhzTR38 3810803 3810904
chl189 6655619 6655720
chl66 3753056 3753157
chl449 3824986 3825087
chl17415 3596164 3596265
chlZJU60 3591104 3591205
chlQ16 3774341 3774442
chlPb-St2 3634817 3634918
chlM71 3686297 3686398
chl464 3826921 3827022
chlChPhzS135 3791857 3791948
chl17411 3740747 3740838
chl19603 3725689 3725790
chl17809 3740738 3740829
chlCW2 3776158 3776259
chlC50 3690307 3690408
chlP2 3830869 3830980
chlJD37 3081335 3081436
chlChPhzS24 3728225 3728326
chl6698 3809600 3809701
chlChPhzTR44 3735553 3735644
chl2210 3715839 3715940
chlToZa7 3743414 3743505
chlSLPH10 3750023 3750114
chlChPhzS23 3726435 3726536
chlPCL1391 3658811 3658902
chlLzh-T5 3704657 3704758
chlPA23 3682772 3682873
chlStFRB508 3633630 3633731
chlChPhzTR36 3813240 3813341
chl21509 3724864 3724965
chl50083 3833373 3833474
chlO6 3805313 3805414
chlChPhzTR18 3743574 3743675
chlK27 3772087 3772188
>29645_29646 both
chlM12 3669001 3669146
chlTAMOak81 3719010 3719108
chlChPhzS140 3770299 3770395
chlDTR133 3782460 3782556
chlPCL1607 3736502 3736598
chlChPhzTR39 3869403 3869499
chlChPhzTR38 3834309 3834405
chl189 6678760 6678858
chl66 3776601 3776697
chl449 3848256 3848401
chl17415 3619347 3619445
chlZJU60 3614366 3614462
chlQ16 3797801 3797946
chlPb-St2 3658009 3658108
chlM71 3709600 3709744
chl464 3850191 3850336
chlChPhzS135 3815197 3815293
chlB25 3769307 3769438
chl17411 3763847 3763943
chl19603 3748960 3749105
chl17809 3763838 3763934
chlCW2 3799418 3799563
chlC50 3713689 3713785
chlP2 3854422 3854518
chlJD37 3058240 3058339
chlChPhzS24 3751732 3751828
chl6698 3832966 3833062
chlChPhzTR44 3758909 3759005
chl2210 3739319 3739464
chlToZa7 3766514 3766610
chlSLPH10 3773363 3773459
chlChPhzS23 3749956 3750052
chlPCL1391 3682151 3682247
chlLzh-T5 3728201 3728297
chlPA23 3706176 3706272
chlStFRB508 3657135 3657234
chlChPhzTR36 3836640 3836736
chl21509 3748267 3748363
chl50083 3856445 3856543
chlO6 3828836 3828932
chlChPhzTR18 3767081 3767177
chlK27 3795323 3795468
>29647_29648 both
chlM12 3679538 3679651
chlChPhzTR39 3879921 3880034
chlChPhzTR38 3844827 3844940
chl189 6689150 6689249
chl66 3787119 3787232
chl449 3858643 3858756
chl17415 3629733 3629832
chl17415 3629911 3630010
chlQ16 3808185 3808298
chlM71 3720006 3720119
chl464 3860578 3860691
chlB25 3779619 3779718
chlB25 3779797 3779896
chl19603 3759347 3759460
chlCW2 3809987 3810100
chlC50 3724215 3724328
chlP2 3864774 3864887
chlChPhzS24 3762250 3762363
chl6698 3843316 3843429
chl2210 3749702 3749815
chlChPhzS23 3760491 3760604
chlLzh-T5 3738720 3738833
chlPA23 3716696 3716809
chlStFRB508 3667594 3667707
chlChPhzTR36 3846990 3847103
chl50083 3866700 3866799
chlO6 3839334 3839447
chlChPhzTR18 3777599 3777712
chlK27 3805728 3805841
>29649_29650 both
chlM12 3695007 3695122
chlTAMOak81 3740244 3740344
chlChPhzS140 3796141 3796239
chlDTR133 3808220 3808318
chlPCL1607 3762262 3762360
chlChPhzTR39 3895340 3895455
chlChPhzTR38 3860247 3860362
chl189 6704569 6704667
chl66 3802550 3802665
chl449 3874117 3874232
chl17415 3645289 3645387
chlZJU60 3640034 3640135
chlQ16 3823739 3823854
chlPb-St2 3683787 3683902
chlM71 3735513 3735628
chl464 3876052 3876167
chlChPhzS135 3840957 3841055
chlB25 3795112 3795227
chl17411 3789488 3789586
chl19603 3774854 3774969
chl17809 3789479 3789577
chlCW2 3825477 3825592
chlC50 3739634 3739749
chlP2 3880208 3880323
chlJD37 3031068 3031183
chlChPhzS24 3777670 3777785
chl6698 3858747 3858862
chlChPhzTR44 3784737 3784835
chl2210 3765209 3765324
chlToZa7 3792183 3792281
chlSLPH10 3799123 3799221
chlChPhzS23 3775922 3776037
chlPCL1391 3707911 3708009
chlLzh-T5 3754161 3754276
chlPA23 3732127 3732242
chlStFRB508 3683110 3683225
chlChPhzTR36 3862421 3862536
chl21509 3773873 3773971
chl50083 3881996 3882094
chlO6 3854765 3854880
chlChPhzTR18 3793019 3793134
chlK27 3821212 3821327
>29651_29652 both
chlM12 3708857 3708985
chlTAMOak81 3752389 3752479
chlChPhzS140 3809162 3809245
chlDTR133 3821241 3821324
chlPCL1607 3775283 3775366
chlChPhzTR39 3908637 3908720
chlChPhzTR38 3873544 3873627
chl189 6718199 6718342
chl66 3815879 3815962
chl17415 3658718 3658861
chlZJU60 3653049 3653132
chlQ16 3837602 3837730
chlPb-St2 3696939 3697024
chlM71 3749333 3749461
chlChPhzS135 3853978 3854061
chlB25 3808111 3808254
chl17411 3802532 3802615
chl19603 3788467 3788595
chl17809 3802523 3802606
chlCW2 3839051 3839179
chlC50 3752947 3753030
chlP2 3893520 3893603
chlChPhzS24 3790967 3791050
chl6698 3872060 3872143
chlChPhzTR44 3797758 3797841
chl2210 3778474 3778602
chlToZa7 3805204 3805287
chlSLPH10 3812143 3812226
chlChPhzS23 3789221 3789304
chlPCL1391 3720951 3721034
chlLzh-T5 3767464 3767547
chlPA23 3745426 3745509
chlStFRB508 3696750 3696878
chlChPhzTR36 3875734 3875817
chl21509 3786913 3786996
chl50083 3895394 3895477
chlO6 3868062 3868145
chlChPhzTR18 3806316 3806399
chlK27 3834813 3834941
>29653_29654 both
chlM12 4117554 4117685
chlTAMOak81 4046304 4046365
chl189 5955995 5956126
chl66 4198027 4198158
chl449 4290237 4290368
chl17415 4001037 4001168
chlQ16 4184284 4184415
chlPb-St2 4045239 4045301
chlM71 4160680 4160811
chl464 4292172 4292303
chlB25 2942894 2943025
chl19603 4487387 4487518
chlCW2 4203608 4203739
chlJD37 2680526 2680657
chl2210 4191224 4191355
chlChPhzS23 4156235 4156366
chlStFRB508 4119022 4119153
chl50083 4234100 4234231
chlK27 4222039 4222170
>29367_29368 both
chlM12 4335927 4336027
chlTAMOak81 4271301 4271364
chlChPhzS140 4633538 4633627
chlDTR133 4528851 4528940
chlChPhzTR39 4518059 4518159
chlChPhzTR38 4469613 4469713
chl189 5371115 5371228
chl66 4414859 4414959
chl449 4510917 4511017
chlM71 4380734 4380834
chl464 4512852 4512952
chlChPhzS135 4522507 4522596
chl19603 4718253 4718353
chlCW2 4442998 4443098
chlC50 4340385 4340485
chlP2 4807537 4807637
chlJD37 2459719 2459819
chlChPhzS24 4405452 4405552
chl6698 4567843 4567943
chlChPhzTR44 4464563 4464652
chl2210 4429699 4429799
chlToZa7 4493359 4493448
chlSLPH10 4502464 4502553
chlChPhzS23 4373027 4373127
chlPCL1391 4421779 4421868
chlLzh-T5 4408068 4408168
chlPA23 4393227 4393327
chlStFRB508 4360962 4361062
chlChPhzTR36 4457421 4457521
chl21509 4587897 4587994
chl50083 4483643 4483756
chlO6 4504064 4504164
chlChPhzTR18 4421905 4422005
chlK27 4441849 4441949
>29655_29656 both
chlM12 4376912 4377010
chlChPhzS140 4680102 4680229
chlDTR133 4575429 4575556
chlPCL1607 4541098 4541225
chlChPhzTR39 4561948 4562046
chlChPhzTR38 4510655 4510753
chl189 5330096 5330227
chl66 4455890 4455991
chl449 4551998 4552096
chl17415 4283910 4284041
chlZJU60 4382356 4382483
chlQ16 4456343 4456444
chlPb-St2 4306249 4306363
chlM71 4456155 4456253
chl464 4553933 4554031
chlChPhzS135 4569070 4569197
chlB25 4489925 4490056
chl19603 4759308 4759406
chlCW2 4484032 4484130
chlC50 4381406 4381507
chlP2 4848567 4848665
chlJD37 2418672 2418770
chlChPhzS24 4449349 4449447
chl6698 4608865 4608966
chlChPhzTR44 4511132 4511259
chl2210 4470750 4470848
chlToZa7 4539923 4540050
chlSLPH10 4707290 4707417
chlChPhzS23 4414043 4414141
chlPCL1391 4468350 4468477
chlLzh-T5 4449096 4449197
chlPA23 4434279 4434398
chlStFRB508 4402018 4402116
chlChPhzTR36 4499764 4499865
chl50083 4530184 4530315
chlO6 4545086 4545218
chlChPhzTR18 4462947 4463045
chlK27 4482826 4482924
>29657_29658 both
chlM12 4389691 4389792
chlChPhzS140 4691967 4692029
chlDTR133 4587294 4587356
chlPCL1607 4552963 4553025
chlChPhzTR39 4574665 4574807
chlChPhzTR38 4523372 4523514
chl189 5317424 5317525
chl66 4468609 4468751
chl449 4564781 4564882
chlZJU60 4394339 4394426
chlQ16 4469016 4469117
chlM71 4468933 4469034
chl464 4566716 4566817
chlChPhzS135 4580935 4580997
chlB25 4501960 4502061
chl17411 4671906 4671968
chl19603 4772089 4772190
chl17809 4671906 4671968
chlCW2 4496782 4496883
chlC50 4394111 4394253
